Party_Name,Chair,Founded,Telephone,Address,Member_Count
Adalet Birlik Partisi,İrfan UZUN,2018-06-06,432 06 61,Cumhuriyet Mahallesi Sakarya Caddesi No:13 Kat:4 D:83 Çankaya/ANKARA,3769
Komünist Parti,Erkan YILDIZ,2014-07-17,417 29 68,Kavaklıdere Mah. Kızılırmak Cad. No:13/5 Çankaya-ANKARA,50
Adalet Partisi,Vecdet ÖZ,2015-10-09,417 80 90 - 417 80 91,İlkbahar Mahallesi 616. Sokak No:11 Çankaya/ ANKARA,6089
Liberal Demokrat Parti,Gültekin TIRPANCI,1994-07-26,419 00 82,Yüzüncü Yıl Mahallesi Hülya Sokak No:35/1 Gazi Osman Paşa Çankaya/ANKARA,4579
Adalet ve Demokrasi Partisi,Yusuf DİRİL,2022-05-05,,BALGAT MAH. ZİYABEY CD. NO: 14 / 3 ÇANKAYA/ANKARA,0
Liberal Parti,SÜLEYMAN HALİD SOYSAL,2021-09-08,,Kocatepe Mahallesi Meşrutiyet Caddesi No:23/4 Kızılay/Çankaya/Ankara,4
Adalet ve Hürriyet Partisi,İdris MENTEŞ,2023-06-21,,Kızılay Mah. Sümer-1 Cad. Kılıç Apt. No: 9/29 Çankaya/ANKARA,NA
Milliyetçi Türkiye Partisi,Ahmet Yılmaz YILMAZ,2023-02-27,,REŞİT GALİP CD. NO: 7/1 ÇANKAYA/ANKARA,0
Adalet ve Kalkınma Partisi,Recep Tayyip ERDOĞAN,2001-08-14,204 50 00,Söğütözü Caddesi NO: 6 Söğütözü / ANKARA,11241230
Memleket Partisi,Muharrem İnce,2021-05-17,,Öveçler mah. 1290 sk. No: 4 Çankaya/ANKARA,25132
Adalet ve Özgürlük Partisi,,2021-11-18,,ANAFARTALAR MAH. RÜZGARLI CD. NO: 7 / 30 ALTINDAĞ/ANKARA,0
Merkez Ana Partisi,Nuriye BAKKAL,2020-02-10,,Diriliş Mah. Plevne Cad. No: 310/21 Mamak/Ankara,644
Adaletin Aydınlığı Partisi,Altuğ ERGÜZEL,2021-09-16,,Demetlale Mah. İvedik Cd. No: 87 / C Yenimahalle/ANKARA,56
Merkez Partisi,Abdurrahim KARSLI,2014-07-07,284 46 46,Cevizlidere Cad. 1239. Sk. No:2/1 Balgat/ANKARA,3595
Adil Türkiye Partisi,MİCHAEL JAMES AŞKAR,2023-08-14,0542 277 09 60,ŞENLİK MAH. BEYLER SK. NO: 7 / B KEÇİÖREN/ANKARA,NA
Merkez Sağ Parti,Ömer BİLGİN,2023-03-22,,Yukarı Bahçelievler Mah. 7. Cad. 69 Sok. No: 29 / 3 Bahçelievler/ANKARA,0
Al Sancak Partisi,Nuri ÇELEBİ,2021-09-30,0850 777 1453,Balgat Mah. Ziyabey Cad. No: 30/14 Balgat Çankaya/ANKARA,385
Millet Partisi,Cuma NACAR,1984-03-22,419 40 60,Oğuzlar Mah. 1397. Cad. No: 14 Balgat Çankaya/Ankara,4415
Anadolu Birliği Partisi,Bedri YALÇIN,2020-01-02,,Akpınar Mah. Dikmen Cad. No: 508/B Çankaya/ANKARA,3024
Milli Birlik ve Gelişim Partisi,Turgut Cumhur ŞANLI,2021-09-14,,Kızılay Mahallesi Necatibey Caddesi No: 51/6 Kat 3 Çankaya Ankara,233
Anavatan Partisi,İbrahim ÇELEBİ,2011-09-07,440 71 10,Turgut Özal Bulvarı 107. cd. No:100 Mamak/ANKARA,26065
Milli Mücadele Partisi,Ahmet KAYA,NA,0312 472 00 80 - 0312 473 00 19,Milli Müdafaa Cad. No:14 Güvenpark Apartmanı Kat:8 Daire No: 15 ve 16 Kızılay/ANKARA,0
As Parti,Cavit KAYIKÇI,2015-02-03,-,Atapark Mah. 340. Cad. No: 30/B Keçiören/ANKARA,0
Milli Parti,Muhammet UZUN,2020-10-27,,İstasyon Mah. Alparslan Türkeş Cad. No: 2/12 Etimesgut/Ankara,113
Ata Parti,Namık Kemal ZEYBEK,2023-07-28,,ÜMİT MAH. 2526 SK. NO: 16 (06810) ÇANKAYA/ANKARA,NA
Milli Yol Partisi,Remzi ÇAYIR,2021-12-14,0312 543 58 44,ZÜBEYDE HANIM MAH. AKÇAY CAD. NO: 13 ALTINDAĞ/ANKARA,4226
Aydınlık Demokrasi Partisi,Zeynep YIKARBABA,2021-08-03,,Cumhuriyet Mahallesi Tuna Caddesi No:8/21 Çankaya/ANKARA,4649
Milliyetçi Sol Parti,Hüseyin ALPAY,2023-04-19,,Bahçelievler Mah. 46. Sok. No: 81/2 Çankaya/ANKARA,0
Aydınlık Geleceğin Partisi,Murat DANACI,2020-02-10,,Kızılay Mah. Menekşe-1 Sok. Orkide 8A apt. Kat: 4 No: 14 Çankaya/ANKARA,2396
