Party_Name,Chair,Founded,Telephone,Address,Member_Count
Adalet Birlik Partisi,İrfan UZUN,06.06.2018,432 06 61,Kızılay Mah. İzmir 2 Cad. No:57-16 Kat: 4 Çankaya/ANKARA,4.562
Karar Partisi,Yaşar AYDIN,20.01.2025,,MÜRSEL ULUÇ MAH. 956 SK. NO: 8 / 7 ÇANKAYA/ANKARA,
Adalet Partisi,Vecdet ÖZ,09.10.2015,417 80 90 - 417 80 91,İlkbahar Mahallesi 616. Sokak No:11 Çankaya/ ANKARA,5.316
Adalet ve Çağrı Partisi,Abdulkadir PAPAĞAN,19.08.2024,,SOKULLU MEHMET PAŞA CD. NO: 5 / B ÇANKAYA/ANKARA,0
Adalet ve Demokrasi Partisi,Yusuf DİRİL,05.05.2022,,BALGAT MAH. ZİYABEY CD. NO: 14 / 3 ÇANKAYA/ANKARA,0
Kızılelma Partisi,Yalçın DURSUN,06.03.2023,,SÖĞÜTÖZÜ MAH. YAŞAM CAD. AKPLAZA BLOK NO: 7 / 17 ÇANKAYA/ANKARA,394
Adalet ve Gençlik Partisi,,29.04.2024,,Cumhuriyet Mah. Sakarya Cad. No:1/74 Kızılay ÇANKAYA/ANKARA,0
Komünist Parti,Erkan YILDIZ,17.07.2014,417 29 68,Kavaklıdere Mah. Kızılırmak Cad. No:13/5 Çankaya-ANKARA,45
Adalet ve Hürriyet Partisi,İdris MENTEŞ,21.06.2023,,Ege Mah. 804 Cad. Nato Sitesi 2 No: 28/1 Mamak/ANKARA,89
Kutlu Parti,Yusuf HALAÇOĞLU,28.06.2024,,AŞAĞI ÖVEÇLER MAH. 1322 CD. NO: 11 ÇANKAYA/ANKARA,503
Adalet ve Kalkınma Partisi,Recep Tayyip ERDOĞAN,14.08.2001,204 50 00,Söğütözü Caddesi NO: 6 Söğütözü / ANKARA,11.135.306
Küresel Adalet ve Liyakat Partisi,Volkan SIRMA,29.11.2023,,ÇIKRIKÇILAR CD. KAYALAR İŞ MERKEZİ SİT. NO: 68 ALTINDAĞ/ANKARA,1
Adaletin Aydınlığı Partisi,Altuğ ERGÜZEL,16.09.2021,,Balgat Mh. Ceyhun Atuf Kansu Cd. No: 36/6 Çankaya/ANKARA,96
Liberal Demokrat Parti,Gültekin TIRPANCI,26.07.1994,419 00 82,Yüzüncü Yıl Mahallesi Hülya Sokak No:35/1 Gazi Osman Paşa Çankaya/ANKARA,3.492
Adil Türkiye Partisi,Ata Barlas AŞKAR,14.08.2023,0542 277 09 60,TUZLU ÇAYIR MAH. SÜLEYMAN AYTEN CAD. ÇİÇEK İŞ MERKEZİ NO:37/7 MAMAK/ANKARA,1.333
Liberal Parti,ZÜBEYİR GÜLABİ,08.09.2021,,Kocatepe Mahallesi Meşrutiyet Caddesi No:23/4 Kızılay/Çankaya/Ankara,238
Al Sancak Partisi,Nuri ÇELEBİ,30.09.2021,0850 777 1453,Balgat Mah. Ziyabey Cad. No: 30/14 Balgat Çankaya/ANKARA,1451
Milliyetçi Türkiye Partisi,Ahmet Yılmaz YILMAZ,27.02.2023,,REŞİT GALİP CD. NO: 7/1 ÇANKAYA/ANKARA,0
Anadolu Birliği Partisi,Bedri YALÇIN,02.01.2020,0507 236 06 06,Akpınar Mah. Dikmen Cad. No: 508/B Çankaya/ANKARA,4.097
Memleket Partisi,Muharrem İnce,17.05.2021,,Fatih Sultan Mah. 2700. Cad. No: 3/3 Posta Kodu: 06790 Etimesgut/ANKARA,55.554
Anadolu Cumhuriyet Partisi,Murat ALTUNTAŞ,22.04.2024,,KUZEY YILDIZI MAH. DORUK VİLLAKENT SİTESİ NO: 78 / 67 YENİMAHALLE/ANKARA,38
Merkez Ana Partisi,Nuriye BAKKAL,10.02.2020,,Diriliş Mah. Plevne Cad. No: 310/21 Mamak/Ankara,623
Anadolu Medeniyet Partisi,Muzaffer KALA,27.10.2023,,Eti Mah. Toros Sk. No: 5 / 3 Çankaya/ANKARA,0
Merkez Parti,Pelin Gündeş BAKIR,07.07.2014,284 46 46,Cevizlidere Cad. 1239. Sk. No:2/1 Balgat/ANKARA,2.432
Anahtar Parti,Yavuz AĞIRALİOĞLU,30.10.2024,,HİLAL MAH. RABİNDRANATH TAGORE CD. NO: 66 Çankaya/ANKARA,44
Merkez Sağ Parti,Ömer BİLGİN,22.03.2023,,Bahçekapı Mh. Eraslan Sit. 2492. Cd. No: 11 Şaşmaz Etimesgut/ANKARA,3.882
Anavatan Partisi,İbrahim ÇELEBİ,07.09.2011,440 71 10,Turgut Özal Bulvarı 107. cd. No:100 Mamak/ANKARA,23.661
